Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[-0.393548, 0.346813, 0.851376]","[-0.793626, 0.402393, 0.456331]","[-0.872056, 0.217282, 0.438528]","[-0.623241, 0.389318, -0.678235]","[0.009520, 0.036730, -0.999280]","[-0.454251, 0.088669, -0.886450]","[0.149852, -0.245157, -0.957832]","[-0.248595, -0.855507, -0.454211]","[0.035976, 0.614950, -0.787745]","[-0.255072, 0.406635, -0.877261]","[-0.641034, -0.739663, 0.204878]"
"[-0.389173, 0.268323, 0.881219]","[-0.769573, 0.372249, 0.518833]","[-0.845968, 0.201552, 0.493676]","[-0.639237, 0.338247, -0.690627]","[0.000169, 0.039330, -0.999226]","[-0.455485, 0.100021, -0.884607]","[0.165977, -0.244893, -0.955238]","[-0.379536, -0.743491, -0.550611]","[-0.044013, 0.768766, -0.638013]","[-0.256502, 0.486803, -0.835003]","[-0.623102, -0.771007, 0.131499]"
"[-0.382119, 0.215484, 0.898639]","[-0.748342, 0.332899, 0.573727]","[-0.806343, 0.235914, 0.542360]","[-0.664589, 0.296439, -0.685891]","[-0.037784, 0.030769, -0.998812]","[-0.455838, 0.133807, -0.879947]","[0.185225, -0.226745, -0.956179]","[-0.475135, -0.664742, -0.576511]","[-0.069693, 0.755337, -0.651621]","[-0.241438, 0.509708, -0.825776]","[-0.621034, -0.783486, -0.021598]"
"[-0.362549, 0.194541, 0.911434]","[-0.708599, 0.324779, 0.626424]","[-0.729903, 0.282628, 0.622385]","[-0.680717, 0.265466, -0.682754]","[-0.061570, 0.035289, -0.997479]","[-0.446652, 0.149317, -0.882160]","[0.197082, -0.204383, -0.958846]","[-0.597947, -0.537191, -0.594883]","[-0.145904, 0.783580, -0.603916]","[-0.278805, 0.495617, -0.822576]","[-0.625969, -0.757604, -0.184931]"
"[-0.326226, 0.194609, 0.925043]","[-0.651079, 0.316078, 0.690066]","[-0.628793, 0.342007, 0.698319]","[-0.688436, 0.228262, -0.688442]","[-0.058643, 0.022291, -0.998030]","[-0.425083, 0.176508, -0.887778]","[0.216338, -0.176903, -0.960158]","[-0.698206, -0.472961, -0.537416]","[-0.217135, 0.782241, -0.583910]","[-0.299658, 0.437669, -0.847733]","[-0.634920, -0.723895, -0.269914]"
"[-0.263383, 0.201870, 0.943333]","[-0.560469, 0.307887, 0.768818]","[-0.525252, 0.314876, 0.790547]","[-0.681724, 0.189593, -0.706616]","[-0.051826, -0.001724, -0.998655]","[-0.375304, 0.195271, -0.906099]","[0.223154, -0.119725, -0.967403]","[-0.781803, -0.396589, -0.481146]","[-0.373005, 0.788360, -0.489241]","[-0.350723, 0.416422, -0.838800]","[-0.590356, -0.714593, -0.375281]"
"[-0.201694, 0.203677, 0.958037]","[-0.461153, 0.267432, 0.846060]","[-0.424791, 0.268296, 0.864621]","[-0.665745, 0.164775, -0.727759]","[-0.075330, -0.032773, -0.996620]","[-0.320483, 0.212249, -0.923169]","[0.184271, -0.076217, -0.979916]","[-0.821653, -0.317562, -0.473329]","[-0.423082, 0.782936, -0.456085]","[-0.304605, 0.406214, -0.861514]","[-0.468982, -0.752094, -0.463045]"
"[-0.158552, 0.183080, 0.970228]","[-0.340555, 0.236807, 0.909915]","[-0.296602, 0.241493, 0.923964]","[-0.627758, 0.121210, -0.768914]","[-0.108012, -0.053495, -0.992709]","[-0.249876, 0.207918, -0.945691]","[0.145031, -0.038498, -0.988678]","[-0.895183, -0.164085, -0.414395]","[-0.425343, 0.833098, -0.353597]","[-0.299906, 0.352529, -0.886442]","[-0.036884, -0.557227, -0.829541]"
"[-0.103386, 0.158939, 0.981860]","[-0.221495, 0.190705, 0.956332]","[-0.225605, 0.158097, 0.961305]","[-0.577764, 0.079368, -0.812336]","[-0.129597, -0.027181, -0.991194]","[-0.165091, 0.216012, -0.962332]","[0.121740, -0.018975, -0.992381]","[-0.923840, -0.038842, -0.380804]","[-0.360155, 0.855350, -0.372376]","[-0.215536, 0.205248, -0.954682]","[0.847530, -0.017515, -0.530459]"
"[-0.093623, 0.131905, 0.986831]","[-0.157152, 0.137741, 0.977922]","[-0.157308, 0.043869, 0.986575]","[-0.554312, 0.022122, -0.832015]","[-0.168347, -0.034864, -0.985111]","[-0.119707, 0.218911, -0.968374]","[0.095480, -0.021234, -0.995205]","[-0.910254, 0.164305, -0.380054]","[-0.272629, 0.928011, -0.253906]","[-0.147832, 0.165278, -0.975105]","[0.839716, 0.498577, -0.215170]"
"[-0.076912, 0.100876, 0.991922]","[-0.073814, 0.090401, 0.993166]","[-0.105402, -0.006673, 0.994407]","[-0.554518, -0.074844, -0.828799]","[-0.204387, -0.107676, -0.972950]","[-0.099521, 0.236274, -0.966577]","[0.069848, -0.042482, -0.996653]","[-0.869907, 0.323535, -0.372273]","[-0.246476, 0.938248, -0.242775]","[-0.154454, 0.037047, -0.987305]","[0.785429, 0.608084, -0.115478]"
"[-0.041961, 0.103286, 0.993766]","[0.046624, 0.047756, 0.997770]","[-0.061436, -0.068510, 0.995757]","[-0.547308, -0.129601, -0.826836]","[-0.226644, -0.145871, -0.962992]","[-0.055550, 0.269248, -0.961467]","[-0.005500, -0.071513, -0.997425]","[-0.857328, 0.399834, -0.324225]","[-0.342247, 0.911530, -0.227991]","[-0.213181, -0.227289, -0.950207]","[0.857946, 0.510916, -0.053787]"
"[-0.004930, 0.108258, 0.994111]","[0.152433, -0.005580, 0.988298]","[-0.032618, -0.095733, 0.994873]","[-0.552693, -0.155451, -0.818759]","[-0.299660, -0.203836, -0.932017]","[-0.002614, 0.269123, -0.963102]","[-0.088201, -0.074222, -0.993334]","[-0.861730, 0.439904, -0.252794]","[-0.400984, 0.890486, -0.215052]","[-0.242581, -0.536984, -0.807962]","[0.943052, 0.331145, -0.031557]"
"[0.025416, 0.120334, 0.992408]","[0.222706, -0.048902, 0.973658]","[0.007962, -0.108150, 0.994103]","[-0.572767, -0.188839, -0.797670]","[-0.408847, -0.242739, -0.879728]","[0.042240, 0.248343, -0.967751]","[-0.163013, -0.039443, -0.985835]","[-0.845652, 0.496475, -0.195921]","[-0.391514, 0.906557, -0.157706]","[-0.269465, -0.711789, -0.648648]","[0.971617, 0.166986, -0.167557]"
"[0.049151, 0.137656, 0.989260]","[0.257634, -0.091029, 0.961945]","[0.032024, -0.114306, 0.992929]","[-0.595632, -0.198866, -0.778252]","[-0.508621, -0.321103, -0.798873]","[0.063871, 0.262131, -0.962916]","[-0.241865, -0.014831, -0.970196]","[-0.789838, 0.597304, -0.139224]","[-0.325120, 0.941963, -0.083684]","[-0.281877, -0.773942, -0.567062]","[0.956649, 0.036182, -0.288988]"
"[0.084935, 0.130574, 0.987794]","[0.278399, -0.128359, 0.951850]","[0.032764, -0.190745, 0.981093]","[-0.624759, -0.197735, -0.755366]","[-0.580098, -0.423464, -0.695820]","[0.080488, 0.272223, -0.958862]","[-0.330139, -0.022503, -0.943664]","[-0.753274, 0.654071, -0.069057]","[-0.179678, 0.983389, 0.025727]","[-0.280382, -0.794398, -0.538812]","[0.919595, 0.045081, -0.390274]"
"[0.139250, 0.106799, 0.984481]","[0.316288, -0.164530, 0.934287]","[0.003698, -0.223891, 0.974607]","[-0.637082, -0.217505, -0.739472]","[-0.634534, -0.482633, -0.603682]","[0.084901, 0.225023, -0.970647]","[-0.382041, -0.005648, -0.924128]","[-0.682570, 0.730499, -0.021642]","[-0.026610, 0.996454, 0.079814]","[-0.244309, -0.819941, -0.517698]","[0.890021, 0.094411, -0.446038]"
"[0.172344, 0.087077, 0.981181]","[0.368107, -0.167698, 0.914535]","[-0.006923, -0.226656, 0.973950]","[-0.638033, -0.242200, -0.730927]","[-0.664315, -0.548365, -0.507918]","[0.086849, 0.183984, -0.979085]","[-0.396843, 0.034645, -0.917232]","[-0.572988, 0.819525, -0.008034]","[0.059223, 0.991859, 0.112733]","[-0.209833, -0.840874, -0.498900]","[0.810058, 0.118011, -0.574352]"
"[0.203398, 0.098559, 0.974123]","[0.429370, -0.151545, 0.890323]","[-0.002775, -0.256859, 0.966445]","[-0.625664, -0.256444, -0.736737]","[-0.683132, -0.584357, -0.438016]","[0.075225, 0.109457, -0.991141]","[-0.428986, 0.054183, -0.901684]","[-0.489629, 0.871929, -0.001935]","[0.134529, 0.985954, 0.098975]","[-0.165695, -0.874347, -0.456138]","[0.778590, -0.004923, -0.627514]"
"[0.226343, 0.106320, 0.968228]","[0.500343, -0.126479, 0.856539]","[-0.012580, -0.303640, 0.952704]","[-0.583633, -0.274104, -0.764356]","[-0.690220, -0.604553, -0.397633]","[0.060025, 0.040273, -0.997384]","[-0.431271, 0.041515, -0.901267]","[-0.389098, 0.921156, -0.008658]","[0.165475, 0.979790, 0.112382]","[-0.144503, -0.896176, -0.419509]","[0.762151, -0.098690, -0.639833]"
"[0.239475, 0.094042, 0.966337]","[0.543584, -0.127043, 0.829685]","[-0.037140, -0.366582, 0.929644]","[-0.545440, -0.247438, -0.800793]","[-0.707704, -0.617688, -0.342954]","[0.024437, -0.019503, -0.999511]","[-0.416776, 0.026411, -0.908625]","[-0.361710, 0.932091, -0.019301]","[0.144870, 0.977288, 0.154663]","[-0.097308, -0.882480, -0.460175]","[0.757561, -0.136379, -0.638359]"
"[0.257267, 0.059386, 0.964514]","[0.551896, -0.139046, 0.822239]","[-0.021116, -0.400431, 0.916084]","[-0.500230, -0.242081, -0.831365]","[-0.720141, -0.619457, -0.312520]","[0.015094, -0.031171, -0.999400]","[-0.434072, -0.005395, -0.900862]","[-0.249515, 0.966909, -0.053193]","[0.183715, 0.961095, 0.206265]","[0.004383, -0.835741, -0.549107]","[0.695922, -0.245371, -0.674897]"
"[0.288955, 0.002513, 0.957339]","[0.534750, -0.151574, 0.831305]","[-0.004729, -0.385519, 0.922688]","[-0.423511, -0.253722, -0.869634]","[-0.749967, -0.565657, -0.342901]","[0.034304, -0.022163, -0.999166]","[-0.443056, -0.012207, -0.896411]","[-0.076545, 0.993070, -0.089180]","[0.215163, 0.946285, 0.241351]","[0.068785, -0.800643, -0.595181]","[0.633877, -0.407863, -0.657151]"
"[0.320857, -0.038802, 0.946332]","[0.522022, -0.168083, 0.836206]","[0.006970, -0.393420, 0.919333]","[-0.359295, -0.284076, -0.888937]","[-0.750675, -0.502737, -0.428653]","[0.058068, -0.006550, -0.998291]","[-0.441729, 0.020005, -0.896925]","[0.211963, 0.959491, -0.185605]","[0.329707, 0.898669, 0.289287]","[0.167628, -0.781596, -0.600840]","[0.656915, -0.314067, -0.685437]"
"[0.336611, -0.060402, 0.939705]","[0.526794, -0.193663, 0.827637]","[0.014233, -0.427602, 0.903855]","[-0.279337, -0.300709, -0.911891]","[-0.705637, -0.461839, -0.537384]","[0.084716, 0.022298, -0.996156]","[-0.420881, 0.042528, -0.906119]","[0.537163, 0.800955, -0.264438]","[0.399404, 0.868484, 0.293617]","[0.257471, -0.727397, -0.636083]","[0.804014, 0.028646, -0.593921]"
"[0.342437, -0.067582, 0.937107]","[0.547592, -0.220730, 0.807107]","[0.027447, -0.451676, 0.891760]","[-0.182299, -0.312541, -0.932247]","[-0.640960, -0.396430, -0.657277]","[0.112656, 0.063151, -0.991625]","[-0.391511, 0.051163, -0.918750]","[0.744484, 0.572047, -0.344247]","[0.545744, 0.787432, 0.286557]","[0.356473, -0.683510, -0.636978]","[0.836084, 0.264527, -0.480613]"
"[0.372857, -0.065931, 0.925544]","[0.571665, -0.254788, 0.779925]","[0.053395, -0.429113, 0.901671]","[-0.053487, -0.316506, -0.947082]","[-0.562922, -0.299516, -0.770331]","[0.149152, 0.079747, -0.985593]","[-0.410422, 0.052005, -0.910412]","[0.795806, 0.434012, -0.422287]","[0.714201, 0.628387, 0.308295]","[0.422668, -0.622581, -0.658593]","[0.849755, 0.353267, -0.391303]"
"[0.396666, -0.074967, 0.914897]","[0.606606, -0.274529, 0.746099]","[0.106771, -0.379114, 0.919170]","[0.057793, -0.334543, -0.940607]","[-0.481423, -0.222965, -0.847655]","[0.193957, 0.069594, -0.978538]","[-0.431923, 0.014880, -0.901788]","[0.852192, 0.246482, -0.461536]","[0.838861, 0.310887, 0.446834]","[0.501571, -0.597738, -0.625408]","[0.826831, 0.467759, -0.312333]"
"[0.427495, -0.088618, 0.899664]","[0.638540, -0.275194, 0.718704]","[0.145370, -0.334790, 0.931012]","[0.166004, -0.353815, -0.920466]","[-0.372995, -0.157447, -0.914377]","[0.228429, 0.042443, -0.972635]","[-0.438463, -0.010318, -0.898690]","[0.855132, 0.101351, -0.508406]","[0.703970, -0.266051, 0.658516]","[0.547972, -0.564958, -0.616887]","[0.764656, 0.619018, -0.179214]"
"[0.438170, -0.091289, 0.894245]","[0.654539, -0.281826, 0.701536]","[0.163265, -0.329451, 0.929950]","[0.236548, -0.373656, -0.896898]","[-0.284893, -0.124236, -0.950474]","[0.250354, 0.019119, -0.967966]","[-0.423002, -0.036960, -0.905375]","[0.845188, -0.104562, -0.524142]","[0.452447, -0.629874, 0.631308]","[0.584930, -0.520555, -0.621996]","[0.604493, 0.796559, -0.009072]"
"[0.435973, -0.103307, 0.894011]","[0.662884, -0.282989, 0.693182]","[0.160820, -0.328137, 0.930840]","[0.291680, -0.381122, -0.877308]","[-0.218703, -0.094780, -0.971178]","[0.274172, 0.001742, -0.961679]","[-0.412536, -0.040854, -0.910025]","[0.807488, -0.240272, -0.538732]","[0.297915, -0.755959, 0.582901]","[0.637147, -0.444709, -0.629506]","[0.394206, 0.912004, 0.113360]"
"[0.436413, -0.109181, 0.893097]","[0.665446, -0.276564, 0.693320]","[0.160156, -0.337349, 0.927656]","[0.339723, -0.389022, -0.856300]","[-0.199696, -0.073989, -0.977060]","[0.285831, -0.021760, -0.958033]","[-0.393807, -0.034849, -0.918532]","[0.764862, -0.349285, -0.541282]","[0.232998, -0.870630, 0.433261]","[0.700145, -0.343924, -0.625710]","[0.301194, 0.942981, 0.141664]"
"[0.456600, -0.108899, 0.882982]","[0.671387, -0.272111, 0.689344]","[0.158158, -0.326370, 0.931917]","[0.373695, -0.410121, -0.831957]","[-0.199077, -0.039700, -0.979179]","[0.302323, -0.055593, -0.951583]","[-0.357094, -0.017195, -0.933910]","[0.752764, -0.362756, -0.549323]","[0.184195, -0.931008, 0.315113]","[0.757120, -0.249322, -0.603828]","[0.248799, 0.958207, 0.141204]"
"[0.460630, -0.107080, 0.881110]","[0.677031, -0.262227, 0.687652]","[0.181097, -0.288595, 0.940169]","[0.371107, -0.422257, -0.827030]","[-0.160671, 0.008797, -0.986969]","[0.304736, -0.085650, -0.948578]","[-0.324704, 0.019449, -0.945616]","[0.759354, -0.354238, -0.545798]","[0.113974, -0.944584, 0.307849]","[0.785174, -0.212388, -0.581715]","[0.176261, 0.966430, 0.186938]"
"[0.463164, -0.087742, 0.881919]","[0.676535, -0.266027, 0.686680]","[0.199323, -0.248834, 0.947814]","[0.347190, -0.433558, -0.831557]","[-0.141091, 0.033193, -0.989440]","[0.293136, -0.118065, -0.948753]","[-0.305253, 0.075344, -0.949286]","[0.756081, -0.344474, -0.556489]","[-0.039308, -0.962564, 0.268190]","[0.795020, -0.203282, -0.571506]","[0.056462, 0.972259, 0.226992]"
"[0.465332, -0.051701, 0.883625]","[0.669152, -0.280018, 0.688349]","[0.210314, -0.211199, 0.954549]","[0.318113, -0.447961, -0.835545]","[-0.145178, -0.001612, -0.989404]","[0.270760, -0.143934, -0.951826]","[-0.279593, 0.121421, -0.952410]","[0.734540, -0.375009, -0.565526]","[-0.133987, -0.983613, 0.120632]","[0.797133, -0.183316, -0.575304]","[-0.030079, 0.971621, 0.234622]"
"[0.457121, -0.028022, 0.888963]","[0.659118, -0.294175, 0.692116]","[0.208744, -0.185905, 0.960138]","[0.295211, -0.449895, -0.842879]","[-0.138819, -0.028472, -0.989908]","[0.253511, -0.152457, -0.955243]","[-0.272680, 0.146434, -0.950896]","[0.707828, -0.405069, -0.578704]","[-0.222711, -0.974586, 0.024122]","[0.797741, -0.167252, -0.579341]","[-0.099019, 0.973528, 0.206006]"
"[0.439041, -0.020357, 0.898237]","[0.646967, -0.303685, 0.699435]","[0.194691, -0.187311, 0.962814]","[0.278201, -0.448359, -0.849457]","[-0.139058, -0.027813, -0.989894]","[0.228323, -0.175802, -0.957582]","[-0.256632, 0.183687, -0.948894]","[0.692052, -0.415024, -0.590610]","[-0.316493, -0.948564, -0.007622]","[0.786164, -0.194911, -0.586478]","[-0.104037, 0.975308, 0.194807]"
"[0.440451, -0.027212, 0.897364]","[0.639474, -0.295632, 0.709700]","[0.182335, -0.173805, 0.967753]","[0.285485, -0.443607, -0.849536]","[-0.131814, -0.033795, -0.990698]","[0.213513, -0.205778, -0.955022]","[-0.229359, 0.228032, -0.946254]","[0.650728, -0.431326, -0.624909]","[-0.367198, -0.928693, -0.051916]","[0.790086, -0.201262, -0.579015]","[-0.098378, 0.976392, 0.192302]"
"[0.440513, -0.035752, 0.897034]","[0.634803, -0.278668, 0.720673]","[0.158748, -0.205418, 0.965714]","[0.274947, -0.441813, -0.853935]","[-0.109257, -0.040331, -0.993195]","[0.200616, -0.240578, -0.949671]","[-0.239766, 0.221683, -0.945182]","[0.641756, -0.436175, -0.630794]","[-0.456822, -0.885181, -0.088140]","[0.808536, -0.206538, -0.551009]","[-0.085789, 0.979606, 0.181693]"
"[0.436719, -0.071540, 0.896749]","[0.625257, -0.286665, 0.725863]","[0.127076, -0.227050, 0.965557]","[0.275086, -0.452655, -0.848193]","[-0.104824, -0.029544, -0.994052]","[0.212768, -0.256156, -0.942928]","[-0.253738, 0.154258, -0.954893]","[0.653025, -0.410121, -0.636679]","[-0.511562, -0.848527, -0.135301]","[0.823475, -0.208033, -0.527837]","[-0.138089, 0.977965, 0.156574]"
"[0.434204, -0.096880, 0.895590]","[0.608899, -0.311990, 0.729318]","[0.122468, -0.191165, 0.973888]","[0.287677, -0.460795, -0.839589]","[-0.108577, -0.024006, -0.993798]","[0.232544, -0.246862, -0.940735]","[-0.272059, 0.078897, -0.959041]","[0.662804, -0.391328, -0.638399]","[-0.570913, -0.801381, -0.178456]","[0.811861, -0.240927, -0.531823]","[-0.179854, 0.976913, 0.115296]"
"[0.421942, -0.115137, 0.899282]","[0.584964, -0.348173, 0.732524]","[0.160073, -0.149879, 0.975660]","[0.317012, -0.451736, -0.833929]","[-0.115078, -0.007599, -0.993327]","[0.244432, -0.236293, -0.940435]","[-0.290417, 0.029643, -0.956441]","[0.685322, -0.377414, -0.622810]","[-0.633404, -0.752750, -0.179348]","[0.796074, -0.251316, -0.550551]","[-0.235693, 0.965123, 0.113954]"
"[0.422270, -0.110650, 0.899691]","[0.569718, -0.371260, 0.733203]","[0.193603, -0.141042, 0.970889]","[0.342400, -0.450684, -0.824407]","[-0.112870, 0.005571, -0.993594]","[0.277056, -0.213802, -0.936765]","[-0.316950, -0.002509, -0.948439]","[0.687814, -0.364262, -0.627874]","[-0.627041, -0.759038, -0.175161]","[0.792475, -0.215558, -0.570542]","[-0.246439, 0.963976, 0.100088]"
"[0.413912, -0.109786, 0.903673]","[0.574664, -0.368331, 0.730817]","[0.215926, -0.143260, 0.965843]","[0.356324, -0.462433, -0.811904]","[-0.104495, 0.014739, -0.994416]","[0.310132, -0.187098, -0.932101]","[-0.342493, -0.007815, -0.939488]","[0.687638, -0.322933, -0.650283]","[-0.598225, -0.777119, -0.195482]","[0.799834, -0.192833, -0.568402]","[-0.246353, 0.965660, 0.082533]"
