Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[-0.272861, 0.330397, 0.903540]","[-0.802928, 0.353134, 0.480211]","[-0.928384, 0.328351, -0.174035]","[-0.557803, 0.239989, -0.794520]","[0.079476, 0.017294, -0.996687]","[-0.552479, 0.083614, -0.829323]","[0.257969, -0.112986, -0.959524]","[-0.246705, -0.448194, -0.859220]","[-0.471985, 0.643641, -0.602459]","[0.386312, 0.499990, -0.775096]","[-0.904827, 0.373025, -0.205281]"
"[-0.285131, 0.354722, 0.890434]","[-0.824176, 0.339697, 0.453145]","[-0.902056, 0.341452, -0.264018]","[-0.563098, 0.229917, -0.793762]","[0.066045, -0.018528, -0.997645]","[-0.555707, 0.106489, -0.824530]","[0.268016, -0.138928, -0.953345]","[-0.204403, -0.476290, -0.855200]","[-0.451227, 0.542741, -0.708397]","[0.415905, 0.497376, -0.761341]","[-0.916618, 0.314469, -0.246820]"
"[-0.304660, 0.371181, 0.877159]","[-0.830214, 0.352671, 0.431703]","[-0.845699, 0.394410, -0.359491]","[-0.559250, 0.198073, -0.804988]","[0.041798, -0.042505, -0.998222]","[-0.524767, 0.141606, -0.839385]","[0.264681, -0.159167, -0.951110]","[-0.187291, -0.514121, -0.837019]","[-0.553084, 0.544827, -0.630286]","[0.442793, 0.483956, -0.754799]","[-0.912504, 0.329245, -0.242765]"
"[-0.331606, 0.374199, 0.866033]","[-0.824847, 0.349930, 0.444045]","[-0.779001, 0.460508, -0.425547]","[-0.567244, 0.147360, -0.810259]","[0.020277, -0.062300, -0.997851]","[-0.494989, 0.173543, -0.851392]","[0.282369, -0.165611, -0.944903]","[-0.163444, -0.487465, -0.857709]","[-0.541245, 0.498496, -0.677167]","[0.468925, 0.465640, -0.750525]","[-0.895542, 0.362518, -0.258041]"
"[-0.348653, 0.349203, 0.869769]","[-0.819253, 0.329222, 0.469508]","[-0.741560, 0.532695, -0.407829]","[-0.559061, 0.109917, -0.821808]","[0.003291, -0.039534, -0.999213]","[-0.464544, 0.187293, -0.865517]","[0.293283, -0.170074, -0.940776]","[-0.159012, -0.437348, -0.885122]","[-0.567197, 0.567635, -0.596722]","[0.479335, 0.464017, -0.744934]","[-0.875702, 0.413783, -0.248858]"
"[-0.363562, 0.300442, 0.881792]","[-0.810214, 0.310604, 0.497070]","[-0.700461, 0.622702, -0.348707]","[-0.538586, 0.089054, -0.837851]","[-0.032201, -0.028551, -0.999074]","[-0.441820, 0.187396, -0.877313]","[0.305112, -0.142705, -0.941564]","[-0.163910, -0.398172, -0.902548]","[-0.556081, 0.536814, -0.634512]","[0.498114, 0.477684, -0.723671]","[-0.841805, 0.445526, -0.304749]"
"[-0.363654, 0.246131, 0.898429]","[-0.779011, 0.337917, 0.528161]","[-0.636542, 0.723585, -0.266905]","[-0.512581, 0.081641, -0.854748]","[-0.055097, -0.042952, -0.997557]","[-0.407086, 0.174173, -0.896630]","[0.282863, -0.118350, -0.951831]","[-0.256951, -0.433089, -0.863950]","[-0.596241, 0.476952, -0.645766]","[0.492064, 0.493555, -0.717130]","[-0.843830, 0.468813, -0.261086]"
"[-0.339588, 0.205945, 0.917751]","[-0.726260, 0.368126, 0.580543]","[-0.684214, 0.719313, -0.120165]","[-0.474957, 0.068931, -0.877305]","[-0.059966, -0.014104, -0.998101]","[-0.361867, 0.171746, -0.916273]","[0.249134, -0.091633, -0.964124]","[-0.378140, -0.487735, -0.786845]","[-0.574061, 0.476849, -0.665635]","[0.508812, 0.520630, -0.685605]","[-0.827832, 0.494022, -0.265776]"
"[-0.313016, 0.173499, 0.933766]","[-0.683335, 0.342123, 0.644985]","[-0.773260, 0.623961, 0.112876]","[-0.440071, 0.077683, -0.894597]","[-0.079266, -0.011366, -0.996789]","[-0.288619, 0.147505, -0.946013]","[0.194139, -0.057814, -0.979269]","[-0.474157, -0.499161, -0.725268]","[-0.515039, 0.589011, -0.622737]","[0.558230, 0.569283, -0.603570]","[-0.790008, 0.596851, -0.140201]"
"[-0.290752, 0.132936, 0.947518]","[-0.616435, 0.295036, 0.730042]","[-0.747134, 0.538234, 0.389994]","[-0.371204, 0.152983, -0.915862]","[-0.087337, -0.019051, -0.995997]","[-0.206291, 0.081592, -0.975083]","[0.132394, 0.022231, -0.990948]","[-0.606475, -0.375507, -0.700844]","[-0.377231, 0.646581, -0.663046]","[0.624111, 0.590062, -0.512165]","[-0.745329, 0.663615, -0.064038]"
